product_id,product_name,category,brand,model_number,description,price_usd,stock_quantity,rating,voltage_v,power_kw,weight_kg,material,country_of_origin,warranty_months,source_document,ai_confidence_score,validation_status
PROD-00018,Conveyor System Model 1017,Conveyor System,Schneider Electric,SCH-965-0017,Industrial conveyor system designed for manufacturing applications.,6873.12,104,3.2,230,167.59,1363.81,Carbon Steel,Switzerland,6,catalog_18.pdf,0.77,Verified
PROD-00019,Gearbox Model 1018,Gearbox,Bosch Rexroth,BOS-899-0018,Industrial gearbox designed for manufacturing applications.,8557.93,346,4.3,220,240.36,643.77,Alloy Steel,South Korea,18,catalog_19.pdf,0.74,Needs Review
PROD-00020,Electric Motor Model 1019,Electric Motor,Schneider Electric,SCH-550-0019,Industrial electric motor designed for manufacturing applications.,18797.41,324,3.1,110,150.87,1781.16,Stainless Steel,USA,18,catalog_20.pdf,0.86,Needs Review
PROD-00021,Hydraulic Valve Model 1020,Hydraulic Valve,WEG,WEG-294-0020,Industrial hydraulic valve designed for manufacturing applications.,14404.83,218,3.9,440,140.09,474.11,Stainless Steel,Japan,36,catalog_21.pdf,0.75,Verified
PROD-00022,Industrial Pump Model 1021,Industrial Pump,Siemens,SIE-255-0021,Industrial industrial pump designed for manufacturing applications.,24659.61,282,4.1,440,4.13,460.14,Cast Iron,India,6,catalog_22.pdf,0.71,Verified
PROD-00023,Welding Machine Model 1022,Welding Machine,Kirloskar,KIR-271-0022,Industrial welding machine designed for manufacturing applications.,10514.71,166,3.6,110,20.7,1390.52,Alloy Steel,Italy,24,catalog_23.pdf,0.71,Verified
PROD-00024,Gearbox Model 1023,Gearbox,Bosch Rexroth,BOS-946-0023,Industrial gearbox designed for manufacturing applications.,18908.16,443,3.9,230,144.5,783.51,Alloy Steel,Italy,12,catalog_24.pdf,0.94,Needs Review
PROD-00025,Industrial Fan Model 1024,Industrial Fan,Atlas Copco,ATL-140-0024,Industrial industrial fan designed for manufacturing applications.,21818.84,161,3.3,110,234.09,596.77,Aluminum,India,24,catalog_25.pdf,0.87,Verified
PROD-00026,Industrial Pump Model 1025,Industrial Pump,WEG,WEG-162-0025,Industrial industrial pump designed for manufacturing applications.,17054.72,426,3.6,230,216.74,323.24,Alloy Steel,South Korea,6,catalog_01.pdf,0.8,Verified
PROD-00027,Welding Machine Model 1026,Welding Machine,Atlas Copco,ATL-122-0026,Industrial welding machine designed for manufacturing applications.,10443.65,255,4.2,230,245.65,1378.07,Alloy Steel,Germany,36,catalog_02.pdf,0.96,Needs Review
PROD-00028,Air Compressor Model 1027,Air Compressor,ABB,ABB-459-0027,Industrial air compressor designed for manufacturing applications.,18901.47,370,3.6,110,132.19,1415.81,Stainless Steel,Japan,6,catalog_03.pdf,0.72,Verified
PROD-00029,Control Panel Model 1028,Control Panel,ABB,ABB-174-0028,Industrial control panel designed for manufacturing applications.,5290.76,101,4.8,400,197.09,1020.68,Alloy Steel,India,36,catalog_04.pdf,0.98,Needs Review
PROD-00030,Generator Model 1029,Generator,Schneider Electric,SCH-659-0029,Industrial generator designed for manufacturing applications.,8356.92,22,4.3,440,210.18,1723.25,Alloy Steel,Switzerland,24,catalog_05.pdf,0.88,Verified
PROD-00031,Industrial Fan Model 1030,Industrial Fan,Siemens,SIE-771-0030,Industrial industrial fan designed for manufacturing applications.,13780.46,331,3.9,230,162.18,574.06,Stainless Steel,Italy,24,catalog_06.pdf,0.75,Verified
PROD-00032,Air Compressor Model 1031,Air Compressor,Bosch Rexroth,BOS-924-0031,Industrial air compressor designed for manufacturing applications.,14491.38,453,3.1,110,85.02,396.88,Alloy Steel,Switzerland,6,catalog_07.pdf,0.9,Needs Review
PROD-00033,Hydraulic Valve Model 1032,Hydraulic Valve,Rockwell Automation,ROC-217-0032,Industrial hydraulic valve designed for manufacturing applications.,798.0,387,4.0,480,117.76,1220.09,Stainless Steel,Japan,6,catalog_08.pdf,0.92,Verified
PROD-00034,Air Compressor Model 1033,Air Compressor,WEG,WEG-711-0033,Industrial air compressor designed for manufacturing applications.,23641.58,101,4.5,400,214.55,1365.62,Aluminum,South Korea,18,catalog_09.pdf,0.82,Needs Review
PROD-00035,Control Panel Model 1034,Control Panel,WEG,WEG-479-0034,Industrial control panel designed for manufacturing applications.,17491.52,5,3.5,440,74.99,406.38,Carbon Steel,Japan,36,catalog_10.pdf,0.95,Verified
PROD-00036,Hydraulic Valve Model 1035,Hydraulic Valve,Schneider Electric,SCH-778-0035,Industrial hydraulic valve designed for manufacturing applications.,12518.67,220,4.6,230,230.97,139.75,Stainless Steel,Switzerland,18,catalog_11.pdf,0.74,Needs Review
PROD-00037,Industrial Fan Model 1036,Industrial Fan,ABB,ABB-389-0036,Industrial industrial fan designed for manufacturing applications.,23344.9,136,3.5,440,57.84,1459.31,Stainless Steel,Switzerland,12,catalog_12.pdf,0.78,Verified
PROD-00038,Control Panel Model 1037,Control Panel,Schneider Electric,SCH-539-0037,Industrial control panel designed for manufacturing applications.,11117.62,264,4.6,400,187.5,1757.75,Alloy Steel,Germany,12,catalog_13.pdf,0.73,Verified
PROD-00039,Electric Motor Model 1038,Electric Motor,Kirloskar,KIR-767-0038,Industrial electric motor designed for manufacturing applications.,24515.78,129,3.2,440,157.82,1161.12,Stainless Steel,Italy,6,catalog_14.pdf,0.76,Verified
PROD-00040,Generator Model 1039,Generator,Bosch Rexroth,BOS-106-0039,Industrial generator designed for manufacturing applications.,12929.05,86,4.7,380,187.53,501.6,Cast Iron,USA,24,catalog_15.pdf,0.77,Verified
PROD-00041,Industrial Fan Model 1040,Industrial Fan,Siemens,SIE-295-0040,Industrial industrial fan designed for manufacturing applications.,3078.57,287,4.0,415,109.62,1794.02,Cast Iron,Germany,12,catalog_16.pdf,0.97,Verified
PROD-00042,Electric Motor Model 1041,Electric Motor,Honeywell,HON-520-0041,Industrial electric motor designed for manufacturing applications.,19178.82,175,3.6,380,233.19,1608.09,Aluminum,Germany,12,catalog_17.pdf,0.72,Verified
PROD-00043,Welding Machine Model 1042,Welding Machine,Crompton,CRO-667-0042,Industrial welding machine designed for manufacturing applications.,17052.72,63,3.5,400,158.3,925.06,Stainless Steel,USA,18,catalog_18.pdf,0.82,Verified
PROD-00044,Industrial Fan Model 1043,Industrial Fan,Crompton,CRO-932-0043,Industrial industrial fan designed for manufacturing applications.,19381.42,36,3.9,230,72.43,1485.93,Alloy Steel,USA,18,catalog_19.pdf,0.85,Verified
PROD-00045,Welding Machine Model 1044,Welding Machine,Schneider Electric,SCH-292-0044,Industrial welding machine designed for manufacturing applications.,23798.19,165,5.0,110,159.79,1468.85,Alloy Steel,South Korea,12,catalog_20.pdf,0.96,Verified
PROD-00046,Hydraulic Valve Model 1045,Hydraulic Valve,Kirloskar,KIR-658-0045,Industrial hydraulic valve designed for manufacturing applications.,19468.11,288,3.4,220,72.06,1682.77,Carbon Steel,South Korea,6,catalog_21.pdf,0.99,Verified
PROD-00047,Electric Motor Model 1046,Electric Motor,Bosch Rexroth,BOS-247-0046,Industrial electric motor designed for manufacturing applications.,15380.58,110,3.2,110,73.76,1513.98,Aluminum,Germany,18,catalog_22.pdf,0.92,Verified
PROD-00048,Generator Model 1047,Generator,Rockwell Automation,ROC-886-0047,Industrial generator designed for manufacturing applications.,21468.4,109,4.2,440,100.2,1159.34,Alloy Steel,Japan,12,catalog_23.pdf,0.98,Needs Review
PROD-00049,Control Panel Model 1048,Control Panel,Crompton,CRO-768-0048,Industrial control panel designed for manufacturing applications.,16912.85,443,4.0,220,213.18,1097.53,Carbon Steel,India,24,catalog_24.pdf,0.93,Verified
PROD-00050,Conveyor System Model 1049,Conveyor System,Bosch Rexroth,BOS-301-0049,Industrial conveyor system designed for manufacturing applications.,10350.95,232,4.0,220,125.32,842.31,Alloy Steel,India,18,catalog_25.pdf,0.98,Verified
PROD-00051,Air Compressor Model 1050,Air Compressor,Siemens,SIE-543-0050,Industrial air compressor designed for manufacturing applications.,22169.09,192,4.3,440,169.89,1128.42,Carbon Steel,Germany,12,catalog_01.pdf,0.91,Verified
PROD-00052,Industrial Pump Model 1051,Industrial Pump,Atlas Copco,ATL-518-0051,Industrial industrial pump designed for manufacturing applications.,5742.04,74,3.5,440,98.3,1431.8,Cast Iron,Japan,36,catalog_02.pdf,0.72,Needs Review
PROD-00053,Generator Model 1052,Generator,Kirloskar,KIR-526-0052,Industrial generator designed for manufacturing applications.,17937.37,322,4.8,230,66.27,1744.33,Cast Iron,USA,18,catalog_03.pdf,0.82,Verified
PROD-00054,Electric Motor Model 1053,Electric Motor,ABB,ABB-578-0053,Industrial electric motor designed for manufacturing applications.,22068.7,468,3.9,400,238.68,842.18,Alloy Steel,China,36,catalog_04.pdf,0.89,Needs Review
PROD-00055,Conveyor System Model 1054,Conveyor System,Bosch Rexroth,BOS-574-0054,Industrial conveyor system designed for manufacturing applications.,18350.08,294,3.3,480,151.09,1033.43,Aluminum,Germany,18,catalog_05.pdf,0.8,Verified
PROD-00056,Generator Model 1055,Generator,Siemens,SIE-225-0055,Industrial generator designed for manufacturing applications.,17507.57,91,4.5,110,233.52,801.76,Stainless Steel,Italy,18,catalog_06.pdf,0.78,Verified
PROD-00057,Electric Motor Model 1056,Electric Motor,Rockwell Automation,ROC-494-0056,Industrial electric motor designed for manufacturing applications.,18877.8,374,4.3,400,51.25,1203.94,Aluminum,Japan,36,catalog_07.pdf,0.87,Needs Review
PROD-00058,Gearbox Model 1057,Gearbox,Honeywell,HON-916-0057,Industrial gearbox designed for manufacturing applications.,11760.12,366,3.6,380,37.15,1134.6,Aluminum,Italy,6,catalog_08.pdf,0.97,Verified
PROD-00059,Gearbox Model 1058,Gearbox,ABB,ABB-980-0058,Industrial gearbox designed for manufacturing applications.,21885.72,476,4.2,230,214.03,34.07,Stainless Steel,Italy,12,catalog_09.pdf,0.71,Verified
PROD-00060,Welding Machine Model 1059,Welding Machine,Honeywell,HON-905-0059,Industrial welding machine designed for manufacturing applications.,5285.05,60,3.4,230,170.39,975.01,Cast Iron,Germany,6,catalog_10.pdf,0.92,Needs Review
PROD-00061,Generator Model 1060,Generator,Rockwell Automation,ROC-675-0060,Industrial generator designed for manufacturing applications.,3402.81,117,3.9,480,47.05,161.1,Cast Iron,Japan,6,catalog_11.pdf,0.91,Verified
PROD-00062,Gearbox Model 1061,Gearbox,Siemens,SIE-424-0061,Industrial gearbox designed for manufacturing applications.,7316.34,17,4.8,380,67.71,49.44,Stainless Steel,Italy,12,catalog_12.pdf,0.98,Needs Review
PROD-00063,Electric Motor Model 1062,Electric Motor,Crompton,CRO-491-0062,Industrial electric motor designed for manufacturing applications.,13406.54,444,3.3,110,200.27,1424.57,Carbon Steel,South Korea,24,catalog_13.pdf,0.97,Verified
PROD-00064,Welding Machine Model 1063,Welding Machine,Honeywell,HON-787-0063,Industrial welding machine designed for manufacturing applications.,12886.4,22,3.8,415,113.74,467.05,Aluminum,Switzerland,6,catalog_14.pdf,0.92,Needs Review
PROD-00065,Electric Motor Model 1064,Electric Motor,ABB,ABB-727-0064,Industrial electric motor designed for manufacturing applications.,20559.82,186,4.6,380,167.8,614.5,Alloy Steel,South Korea,6,catalog_15.pdf,0.85,Needs Review
PROD-00066,Welding Machine Model 1065,Welding Machine,Schneider Electric,SCH-539-0065,Industrial welding machine designed for manufacturing applications.,10263.07,465,4.9,110,79.93,117.22,Cast Iron,Japan,6,catalog_16.pdf,0.76,Verified
PROD-00067,Generator Model 1066,Generator,WEG,WEG-303-0066,Industrial generator designed for manufacturing applications.,12237.52,117,3.9,220,95.62,324.74,Alloy Steel,India,24,catalog_17.pdf,0.86,Needs Review
PROD-00068,Conveyor System Model 1067,Conveyor System,Bosch Rexroth,BOS-585-0067,Industrial conveyor system designed for manufacturing applications.,580.85,233,4.0,440,247.68,1378.56,Stainless Steel,Switzerland,18,catalog_18.pdf,0.92,Verified
PROD-00069,Control Panel Model 1068,Control Panel,Crompton,CRO-932-0068,Industrial control panel designed for manufacturing applications.,10391.05,175,4.1,230,62.28,889.37,Alloy Steel,China,36,catalog_19.pdf,0.96,Verified
PROD-00070,Industrial Fan Model 1069,Industrial Fan,Honeywell,HON-130-0069,Industrial industrial fan designed for manufacturing applications.,16282.41,299,4.9,110,126.86,1585.44,Alloy Steel,Italy,36,catalog_20.pdf,0.93,Verified
PROD-00071,Conveyor System Model 1070,Conveyor System,Atlas Copco,ATL-487-0070,Industrial conveyor system designed for manufacturing applications.,633.83,193,4.7,400,211.18,716.24,Aluminum,Italy,24,catalog_21.pdf,0.76,Verified
PROD-00072,Hydraulic Valve Model 1071,Hydraulic Valve,Bosch Rexroth,BOS-724-0071,Industrial hydraulic valve designed for manufacturing applications.,7201.83,430,3.3,480,60.19,485.12,Stainless Steel,Japan,6,catalog_22.pdf,0.87,Needs Review
PROD-00073,Electric Motor Model 1072,Electric Motor,Schneider Electric,SCH-976-0072,Industrial electric motor designed for manufacturing applications.,5396.92,469,3.9,440,104.1,626.98,Alloy Steel,South Korea,36,catalog_23.pdf,0.8,Verified
PROD-00074,Hydraulic Valve Model 1073,Hydraulic Valve,Rockwell Automation,ROC-533-0073,Industrial hydraulic valve designed for manufacturing applications.,1289.14,83,3.9,400,153.97,1283.56,Cast Iron,China,24,catalog_24.pdf,0.7,Needs Review
PROD-00075,Conveyor System Model 1074,Conveyor System,WEG,WEG-936-0074,Industrial conveyor system designed for manufacturing applications.,12111.69,150,4.6,440,120.56,999.9,Stainless Steel,India,12,catalog_25.pdf,0.76,Verified
PROD-00076,Welding Machine Model 1075,Welding Machine,Siemens,SIE-475-0075,Industrial welding machine designed for manufacturing applications.,4747.65,411,4.2,230,115.15,1627.74,Cast Iron,Italy,36,catalog_01.pdf,0.73,Verified
PROD-00077,Industrial Fan Model 1076,Industrial Fan,Schneider Electric,SCH-443-0076,Industrial industrial fan designed for manufacturing applications.,18641.27,186,4.3,380,90.95,1084.7,Carbon Steel,Germany,12,catalog_02.pdf,0.94,Verified
PROD-00078,Industrial Fan Model 1077,Industrial Fan,Schneider Electric,SCH-542-0077,Industrial industrial fan designed for manufacturing applications.,21236.22,290,5.0,415,146.87,888.45,Alloy Steel,South Korea,6,catalog_03.pdf,0.77,Verified
PROD-00079,Industrial Pump Model 1078,Industrial Pump,Rockwell Automation,ROC-678-0078,Industrial industrial pump designed for manufacturing applications.,13753.23,254,3.1,380,156.28,1414.78,Stainless Steel,Japan,36,catalog_04.pdf,0.78,Needs Review
PROD-00080,Industrial Fan Model 1079,Industrial Fan,Kirloskar,KIR-174-0079,Industrial industrial fan designed for manufacturing applications.,24547.26,358,3.4,110,163.5,1705.67,Cast Iron,Japan,24,catalog_05.pdf,0.98,Needs Review
PROD-00081,Control Panel Model 1080,Control Panel,Rockwell Automation,ROC-656-0080,Industrial control panel designed for manufacturing applications.,11399.34,318,3.8,480,18.06,641.81,Alloy Steel,South Korea,18,catalog_06.pdf,0.81,Needs Review
PROD-00082,Industrial Fan Model 1081,Industrial Fan,Kirloskar,KIR-871-0081,Industrial industrial fan designed for manufacturing applications.,12955.86,200,3.7,380,157.94,451.28,Aluminum,Italy,36,catalog_07.pdf,0.7,Needs Review
PROD-00083,Conveyor System Model 1082,Conveyor System,Kirloskar,KIR-765-0082,Industrial conveyor system designed for manufacturing applications.,24733.14,327,3.0,230,238.33,1109.96,Cast Iron,India,36,catalog_08.pdf,0.78,Verified
PROD-00084,Industrial Pump Model 1083,Industrial Pump,Crompton,CRO-254-0083,Industrial industrial pump designed for manufacturing applications.,5980.82,75,3.2,480,135.48,898.97,Cast Iron,Italy,36,catalog_09.pdf,0.73,Verified
PROD-00085,Conveyor System Model 1084,Conveyor System,Crompton,CRO-529-0084,Industrial conveyor system designed for manufacturing applications.,23578.01,252,4.4,110,178.96,1780.56,Carbon Steel,South Korea,36,catalog_10.pdf,0.73,Needs Review
PROD-00086,Conveyor System Model 1085,Conveyor System,ABB,ABB-462-0085,Industrial conveyor system designed for manufacturing applications.,1310.23,150,4.8,220,139.4,833.33,Aluminum,Switzerland,24,catalog_11.pdf,0.72,Verified
PROD-00087,Air Compressor Model 1086,Air Compressor,Honeywell,HON-547-0086,Industrial air compressor designed for manufacturing applications.,11298.08,110,4.0,380,213.76,135.65,Carbon Steel,USA,24,catalog_12.pdf,0.87,Verified
PROD-00088,Industrial Pump Model 1087,Industrial Pump,Honeywell,HON-333-0087,Industrial industrial pump designed for manufacturing applications.,1982.59,267,4.1,380,232.43,1759.31,Aluminum,Italy,18,catalog_13.pdf,0.75,Verified
PROD-00089,Conveyor System Model 1088,Conveyor System,Siemens,SIE-662-0088,Industrial conveyor system designed for manufacturing applications.,18298.56,300,3.5,415,46.46,1518.77,Cast Iron,China,24,catalog_14.pdf,0.8,Verified
PROD-00090,Air Compressor Model 1089,Air Compressor,Honeywell,HON-917-0089,Industrial air compressor designed for manufacturing applications.,15308.12,74,4.5,110,109.5,322.49,Carbon Steel,Switzerland,24,catalog_15.pdf,0.95,Verified
PROD-00091,Air Compressor Model 1090,Air Compressor,Crompton,CRO-361-0090,Industrial air compressor designed for manufacturing applications.,17739.2,474,4.5,400,98.4,1628.48,Alloy Steel,South Korea,6,catalog_16.pdf,0.82,Needs Review
PROD-00092,Industrial Pump Model 1091,Industrial Pump,ABB,ABB-926-0091,Industrial industrial pump designed for manufacturing applications.,9518.39,197,4.2,380,101.6,614.52,Aluminum,Switzerland,6,catalog_17.pdf,0.97,Verified
PROD-00093,Hydraulic Valve Model 1092,Hydraulic Valve,ABB,ABB-224-0092,Industrial hydraulic valve designed for manufacturing applications.,9394.68,72,3.4,230,31.82,680.05,Cast Iron,China,12,catalog_18.pdf,0.84,Verified
PROD-00094,Welding Machine Model 1093,Welding Machine,Kirloskar,KIR-344-0093,Industrial welding machine designed for manufacturing applications.,1371.65,498,3.2,380,203.5,1631.69,Stainless Steel,Switzerland,18,catalog_19.pdf,0.82,Verified
PROD-00095,Control Panel Model 1094,Control Panel,Rockwell Automation,ROC-641-0094,Industrial control panel designed for manufacturing applications.,8911.14,309,3.1,415,9.42,955.15,Aluminum,Switzerland,6,catalog_20.pdf,0.92,Needs Review
PROD-00096,Welding Machine Model 1095,Welding Machine,Siemens,SIE-584-0095,Industrial welding machine designed for manufacturing applications.,23249.89,56,4.2,220,132.29,249.7,Aluminum,South Korea,18,catalog_21.pdf,0.72,Needs Review
PROD-00097,Industrial Fan Model 1096,Industrial Fan,Kirloskar,KIR-221-0096,Industrial industrial fan designed for manufacturing applications.,9635.86,374,4.7,415,165.64,665.56,Alloy Steel,USA,18,catalog_22.pdf,0.73,Needs Review
PROD-00098,Control Panel Model 1097,Control Panel,Rockwell Automation,ROC-224-0097,Industrial control panel designed for manufacturing applications.,20826.35,367,4.7,380,52.26,1300.33,Aluminum,China,36,catalog_23.pdf,0.89,Verified
PROD-00099,Industrial Fan Model 1098,Industrial Fan,Honeywell,HON-648-0098,Industrial industrial fan designed for manufacturing applications.,21097.56,289,3.9,480,226.51,315.18,Aluminum,China,18,catalog_24.pdf,0.84,Needs Review
PROD-00100,Conveyor System Model 1099,Conveyor System,Kirloskar,KIR-269-0099,Industrial conveyor system designed for manufacturing applications.,9487.72,409,4.6,400,209.72,1063.24,Alloy Steel,Germany,36,catalog_25.pdf,0.93,Needs Review
PROD-00101,Electric Motor Model 1100,Electric Motor,Bosch Rexroth,BOS-223-0100,Industrial electric motor designed for manufacturing applications.,15891.72,478,4.9,440,118.04,1252.1,Alloy Steel,Japan,12,catalog_01.pdf,0.97,Needs Review
PROD-00102,Industrial Pump Model 1101,Industrial Pump,Honeywell,HON-968-0101,Industrial industrial pump designed for manufacturing applications.,2610.45,338,3.6,380,103.08,620.25,Carbon Steel,China,12,catalog_02.pdf,0.81,Needs Review
PROD-00103,Control Panel Model 1102,Control Panel,Rockwell Automation,ROC-134-0102,Industrial control panel designed for manufacturing applications.,2816.04,13,3.8,110,59.52,1249.6,Cast Iron,Japan,12,catalog_03.pdf,0.87,Verified
PROD-00104,Control Panel Model 1103,Control Panel,Siemens,SIE-186-0103,Industrial control panel designed for manufacturing applications.,1454.28,255,4.9,380,182.63,1591.8,Cast Iron,South Korea,36,catalog_04.pdf,0.85,Verified
PROD-00105,Conveyor System Model 1104,Conveyor System,Rockwell Automation,ROC-745-0104,Industrial conveyor system designed for manufacturing applications.,14630.12,435,3.7,400,33.37,850.87,Carbon Steel,India,36,catalog_05.pdf,0.98,Verified
PROD-00106,Hydraulic Valve Model 1105,Hydraulic Valve,Kirloskar,KIR-807-0105,Industrial hydraulic valve designed for manufacturing applications.,10795.26,336,4.8,110,170.22,690.47,Cast Iron,Italy,12,catalog_06.pdf,0.94,Verified
PROD-00107,Air Compressor Model 1106,Air Compressor,Kirloskar,KIR-885-0106,Industrial air compressor designed for manufacturing applications.,13813.8,302,5.0,230,210.69,453.58,Aluminum,Germany,36,catalog_07.pdf,0.96,Needs Review
PROD-00108,Conveyor System Model 1107,Conveyor System,Schneider Electric,SCH-300-0107,Industrial conveyor system designed for manufacturing applications.,13146.56,439,4.3,480,57.5,1088.36,Carbon Steel,South Korea,24,catalog_08.pdf,0.77,Needs Review
PROD-00109,Gearbox Model 1108,Gearbox,Siemens,SIE-468-0108,Industrial gearbox designed for manufacturing applications.,8917.52,188,4.6,110,216.67,1583.97,Carbon Steel,USA,24,catalog_09.pdf,0.92,Needs Review
PROD-00110,Air Compressor Model 1109,Air Compressor,Atlas Copco,ATL-896-0109,Industrial air compressor designed for manufacturing applications.,17017.47,183,4.5,415,8.81,585.74,Cast Iron,India,36,catalog_10.pdf,0.78,Verified
PROD-00111,Industrial Pump Model 1110,Industrial Pump,Honeywell,HON-176-0110,Industrial industrial pump designed for manufacturing applications.,19022.92,202,4.4,220,228.24,714.43,Stainless Steel,Switzerland,36,catalog_11.pdf,0.76,Verified
PROD-00112,Air Compressor Model 1111,Air Compressor,ABB,ABB-158-0111,Industrial air compressor designed for manufacturing applications.,612.05,132,3.6,415,30.03,733.11,Cast Iron,Germany,6,catalog_12.pdf,0.97,Verified
PROD-00113,Hydraulic Valve Model 1112,Hydraulic Valve,Siemens,SIE-530-0112,Industrial hydraulic valve designed for manufacturing applications.,5379.25,24,3.1,440,161.62,1010.34,Stainless Steel,Germany,6,catalog_13.pdf,0.71,Verified
PROD-00114,Air Compressor Model 1113,Air Compressor,ABB,ABB-737-0113,Industrial air compressor designed for manufacturing applications.,17902.59,476,3.7,110,62.9,412.68,Carbon Steel,South Korea,18,catalog_14.pdf,0.98,Verified
PROD-00115,Industrial Pump Model 1114,Industrial Pump,Siemens,SIE-599-0114,Industrial industrial pump designed for manufacturing applications.,9818.85,415,4.3,230,209.22,1480.34,Stainless Steel,USA,18,catalog_15.pdf,0.74,Verified
PROD-00116,Hydraulic Valve Model 1115,Hydraulic Valve,Siemens,SIE-208-0115,Industrial hydraulic valve designed for manufacturing applications.,16646.48,426,3.2,380,128.32,533.49,Aluminum,USA,18,catalog_16.pdf,0.94,Verified
PROD-00117,Welding Machine Model 1116,Welding Machine,Rockwell Automation,ROC-835-0116,Industrial welding machine designed for manufacturing applications.,8837.33,332,3.0,480,34.24,1270.24,Alloy Steel,Japan,12,catalog_17.pdf,0.78,Needs Review
PROD-00118,Control Panel Model 1117,Control Panel,Siemens,SIE-377-0117,Industrial control panel designed for manufacturing applications.,9921.19,69,3.3,110,142.96,924.76,Stainless Steel,Italy,24,catalog_18.pdf,0.8,Verified
PROD-00119,Control Panel Model 1118,Control Panel,Schneider Electric,SCH-167-0118,Industrial control panel designed for manufacturing applications.,4177.3,186,4.4,415,102.27,1055.44,Alloy Steel,South Korea,12,catalog_19.pdf,0.76,Needs Review
